,Gene,Hallmark,Subprocess,ENSEMBL,ENSEMBL_mice
333,SOD2,Senescence,Other,ENSG00000291237,ENSMUSG00000006818
334,RPS3,Senescence,Other,ENSG00000149273,ENSMUSG00000030744
335,PPRC1,Senescence,Other,ENSG00000148840,ENSMUSG00000055491
336,SLC25A25,Senescence,Other,ENSG00000148339,ENSMUSG00000026819
337,ADAMTSL4,Senescence,Other,ENSG00000143382,ENSMUSG00000015850
338,NFKBIZ,Senescence,Other,ENSG00000144802,ENSMUSG00000035356
339,PDLIM1,Senescence,Other,ENSG00000107438,ENSMUSG00000055044
340,RND3,Senescence,Other,ENSG00000115963,ENSMUSG00000017144
341,NXT1,Senescence,Other,ENSG00000132661,ENSMUSG00000036992
342,BTG2,Senescence,Other,ENSG00000159388,ENSMUSG00000020423
343,STAT3,Senescence,Other,ENSG00000168610,ENSMUSG00000004040
344,CEBPD,Senescence,Other,ENSG00000221869,ENSMUSG00000071637
345,RNASET2,Senescence,Other,ENSG00000026297,
346,C1RL,Senescence,Other,ENSG00000288124,ENSMUSG00000038527
347,SLC2A3,Senescence,Other,ENSG00000059804,ENSMUSG00000003153
